Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",8000,1027424,128.43,50.00,5,10284
"Compare_Objects",8000,383812,47.98,20.00,0,2528
"Deserialize_Old_ComplexOrderResponse_Xml",8000,290469,36.31,4.00,0,8757
"Deserialize_New_ComplexOrderResponse_Xml",8000,166163,20.77,2.00,0,6175
"Parallel_Comparison",2,48475,24237.50,24237.50,20178,28297
"CompareFolderUploadsAsync",1,36698,36698.00,36698.00,36698,36698
"Generate_File_Hash",16000,21789,1.36,0.00,0,1972
"Compare_File_674",2,10475,5237.50,5237.50,144,10331
"Compare_File_729",2,9998,4999.00,4999.00,10,9988
"Compare_File_838",2,9405,4702.50,4702.50,20,9385
"Compare_File_268",2,7660,3830.00,3830.00,653,7007
"Compare_File_0",2,6619,3309.50,3309.50,2286,4333
"Compare_File_2130",2,6540,3270.00,3270.00,343,6197
"Compare_File_2207",2,6146,3073.00,3073.00,120,6026
"Compare_File_388",2,5701,2850.50,2850.50,309,5392
"Compare_File_334",2,5622,2811.00,2811.00,98,5524
"Compare_File_362",2,5587,2793.50,2793.50,119,5468
"Compare_File_367",2,5531,2765.50,2765.50,29,5502
"Compare_File_450",2,5445,2722.50,2722.50,31,5414
"Compare_File_483",2,5436,2718.00,2718.00,199,5237
"Compare_File_834",2,5377,2688.50,2688.50,329,5048
"Compare_File_358",2,5354,2677.00,2677.00,45,5309
"Compare_File_1",2,5077,2538.50,2538.50,2511,2566
"Compare_File_1447",2,4971,2485.50,2485.50,30,4941
"Compare_File_1443",2,4831,2415.50,2415.50,222,4609
"Compare_File_489",2,4769,2384.50,2384.50,75,4694
"Compare_File_6",2,4516,2258.00,2258.00,142,4374
"Compare_File_1452",2,4477,2238.50,2238.50,164,4313
"Compare_File_1417",2,4470,2235.00,2235.00,23,4447
"Compare_File_521",2,4349,2174.50,2174.50,21,4328
"Compare_File_5",2,4202,2101.00,2101.00,67,4135
"Compare_File_2174",2,4185,2092.50,2092.50,22,4163
"Compare_File_1438",2,4109,2054.50,2054.50,184,3925
"Compare_File_442",2,4100,2050.00,2050.00,179,3921
"Compare_File_1456",2,4025,2012.50,2012.50,10,4015
"Compare_File_1377",2,3938,1969.00,1969.00,54,3884
"Compare_File_1414",2,3863,1931.50,1931.50,12,3851
"Compare_File_1401",2,3822,1911.00,1911.00,84,3738
"Generate_Config_Fingerprint",8007,3714,0.46,0.00,0,496
"Compare_File_1426",2,3713,1856.50,1856.50,8,3705
"Compare_File_561",2,3607,1803.50,1803.50,343,3264
"Compare_File_214",2,3557,1778.50,1778.50,115,3442
"Compare_File_16",2,3501,1750.50,1750.50,21,3480
"Compare_File_15",2,3389,1694.50,1694.50,31,3358
"Compare_File_198",2,3382,1691.00,1691.00,130,3252
