Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",4000,569710,142.43,37.00,7,11335
"Compare_Objects",4000,228157,57.04,20.00,1,1739
"Deserialize_Old_ComplexOrderResponse_Xml",4000,151014,37.75,3.00,0,4470
"Deserialize_New_ComplexOrderResponse_Xml",4000,89995,22.50,2.00,0,11023
"Parallel_Comparison",1,30424,30424.00,30424.00,30424,30424
"Generate_File_Hash",8000,13027,1.63,0.00,0,431
"Compare_File_179",1,11349,11349.00,11349.00,11349,11349
"Compare_File_4",1,7279,7279.00,7279.00,7279,7279
"Compare_File_14",1,7231,7231.00,7231.00,7231,7231
"Compare_File_5",1,7157,7157.00,7157.00,7157,7157
"Compare_File_7",1,7118,7118.00,7118.00,7118,7118
"Compare_File_16",1,7113,7113.00,7113.00,7113,7113
"Compare_File_1",1,7110,7110.00,7110.00,7110,7110
"Compare_File_0",1,6709,6709.00,6709.00,6709,6709
"Compare_File_2536",1,6205,6205.00,6205.00,6205,6205
"Compare_File_161",1,5773,5773.00,5773.00,5773,5773
"Compare_File_13",1,5757,5757.00,5757.00,5757,5757
"Compare_File_12",1,5516,5516.00,5516.00,5516,5516
"Compare_File_8",1,5495,5495.00,5495.00,5495,5495
"Compare_File_11",1,5404,5404.00,5404.00,5404,5404
"Compare_File_10",1,5390,5390.00,5390.00,5390,5390
"Compare_File_408",1,5267,5267.00,5267.00,5267,5267
"Compare_File_905",1,4552,4552.00,4552.00,4552,4552
"Compare_File_6",1,4496,4496.00,4496.00,4496,4496
"Compare_File_19",1,4491,4491.00,4491.00,4491,4491
"Compare_File_2962",1,4490,4490.00,4490.00,4490,4490
"Compare_File_262",1,4454,4454.00,4454.00,4454,4454
"Compare_File_21",1,4205,4205.00,4205.00,4205,4205
"Compare_File_9",1,4158,4158.00,4158.00,4158,4158
"Compare_File_961",1,4100,4100.00,4100.00,4100,4100
"Compare_File_2",1,4059,4059.00,4059.00,4059,4059
"Compare_File_18",1,3991,3991.00,3991.00,3991,3991
"Compare_File_15",1,3954,3954.00,3954.00,3954,3954
"Compare_File_17",1,3888,3888.00,3888.00,3888,3888
"Compare_File_3",1,3873,3873.00,3873.00,3873,3873
