Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",4000,616218,154.05,56.00,9,10284
"Compare_Objects",4000,262633,65.66,26.00,1,2528
"Deserialize_Old_ComplexOrderResponse_Xml",4000,159669,39.92,4.00,1,8757
"Deserialize_New_ComplexOrderResponse_Xml",4000,79489,19.87,3.00,1,4073
"Parallel_Comparison",1,28297,28297.00,28297.00,28297,28297
"Generate_File_Hash",8000,16337,2.04,0.00,0,1972
"Compare_File_674",1,10331,10331.00,10331.00,10331,10331
"Compare_File_729",1,9988,9988.00,9988.00,9988,9988
"Compare_File_838",1,9385,9385.00,9385.00,9385,9385
"Compare_File_1447",1,4941,4941.00,4941.00,4941,4941
"Compare_File_1443",1,4609,4609.00,4609.00,4609,4609
"Compare_File_1417",1,4447,4447.00,4447.00,4447,4447
"Compare_File_6",1,4374,4374.00,4374.00,4374,4374
"Compare_File_0",1,4333,4333.00,4333.00,4333,4333
"Compare_File_521",1,4328,4328.00,4328.00,4328,4328
"Compare_File_1452",1,4313,4313.00,4313.00,4313,4313
"Compare_File_5",1,4135,4135.00,4135.00,4135,4135
"Compare_File_1456",1,4015,4015.00,4015.00,4015,4015
"Compare_File_1438",1,3925,3925.00,3925.00,3925,3925
"Compare_File_1377",1,3884,3884.00,3884.00,3884,3884
"Compare_File_1414",1,3851,3851.00,3851.00,3851,3851
"Compare_File_1401",1,3738,3738.00,3738.00,3738,3738
"Compare_File_1426",1,3705,3705.00,3705.00,3705,3705
"Compare_File_16",1,3480,3480.00,3480.00,3480,3480
"Compare_File_214",1,3442,3442.00,3442.00,3442,3442
"Compare_File_15",1,3358,3358.00,3358.00,3358,3358
"Compare_File_18",1,3329,3329.00,3329.00,3329,3329
"Compare_File_17",1,3300,3300.00,3300.00,3300,3300
"Compare_File_198",1,3252,3252.00,3252.00,3252,3252
"Compare_File_20",1,3156,3156.00,3156.00,3156,3156
"Compare_File_21",1,3135,3135.00,3135.00,3135,3135
"Compare_File_193",1,3068,3068.00,3068.00,3068,3068
"Compare_File_1450",1,2980,2980.00,2980.00,2980,2980
"Compare_File_26",1,2947,2947.00,2947.00,2947,2947
"Compare_File_13",1,2944,2944.00,2944.00,2944,2944
"Compare_File_1449",1,2934,2934.00,2934.00,2934,2934
"Compare_File_9",1,2888,2888.00,2888.00,2888,2888
"Compare_File_1451",1,2867,2867.00,2867.00,2867,2867
"Compare_File_3448",1,2839,2839.00,2839.00,2839,2839
"Compare_File_19",1,2827,2827.00,2827.00,2827,2827
"Compare_File_1454",1,2805,2805.00,2805.00,2805,2805
"Compare_File_1458",1,2773,2773.00,2773.00,2773,2773
"Compare_File_14",1,2763,2763.00,2763.00,2763,2763
"Compare_File_3",1,2689,2689.00,2689.00,2689,2689
"Compare_File_11",1,2670,2670.00,2670.00,2670,2670
"Compare_File_1442",1,2658,2658.00,2658.00,2658,2658
"Compare_File_1446",1,2652,2652.00,2652.00,2652,2652
"Compare_File_12",1,2617,2617.00,2617.00,2617,2617
"Compare_File_4",1,2595,2595.00,2595.00,2595,2595
"Compare_File_1453",1,2570,2570.00,2570.00,2570,2570
"Compare_File_1",1,2566,2566.00,2566.00,2566,2566
"Compare_File_2",1,2550,2550.00,2550.00,2550,2550
"Compare_File_22",1,2541,2541.00,2541.00,2541,2541
"Compare_File_1455",1,2516,2516.00,2516.00,2516,2516
"Compare_File_8",1,2497,2497.00,2497.00,2497,2497
"Compare_File_7",1,2474,2474.00,2474.00,2474,2474
"Compare_File_10",1,2458,2458.00,2458.00,2458,2458
"Compare_File_1457",1,2444,2444.00,2444.00,2444,2444
"Compare_File_185",1,2372,2372.00,2372.00,2372,2372
"Compare_File_35",1,2130,2130.00,2130.00,2130,2130
"Compare_File_27",1,2090,2090.00,2090.00,2090,2090
