Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",4000,654497,163.62,56.00,10,10877
"Compare_Objects",4000,296554,74.14,32.00,1,1112
"Deserialize_Old_ComplexOrderResponse_Xml",4000,173461,43.37,4.00,1,10342
"Deserialize_New_ComplexOrderResponse_Xml",4000,110501,27.63,2.00,0,10861
"Parallel_Comparison",1,29420,29420.00,29420.00,29420,29420
"Generate_File_Hash",8000,13639,1.70,0.00,0,274
"Compare_File_2330",1,10879,10879.00,10879.00,10879,10879
"Compare_File_2425",1,10370,10370.00,10370.00,10370,10370
"Compare_File_1254",1,7819,7819.00,7819.00,7819,7819
"Compare_File_4",1,7389,7389.00,7389.00,7389,7389
"Compare_File_1262",1,6771,6771.00,6771.00,6771,6771
"Compare_File_293",1,6558,6558.00,6558.00,6558,6558
"Compare_File_484",1,6512,6512.00,6512.00,6512,6512
"Compare_File_1257",1,6482,6482.00,6482.00,6482,6482
"Compare_File_225",1,6162,6162.00,6162.00,6162,6162
"Compare_File_1264",1,6147,6147.00,6147.00,6147,6147
"Compare_File_245",1,4566,4566.00,4566.00,4566,4566
"Compare_File_250",1,4286,4286.00,4286.00,4286,4286
"Compare_File_175",1,4258,4258.00,4258.00,4258,4258
"Compare_File_1251",1,4251,4251.00,4251.00,4251,4251
"Compare_File_10",1,4094,4094.00,4094.00,4094,4094
"Compare_File_1",1,4052,4052.00,4052.00,4052,4052
"Compare_File_8",1,4011,4011.00,4011.00,4011,4011
"Compare_File_3",1,3941,3941.00,3941.00,3941,3941
"Compare_File_5",1,3898,3898.00,3898.00,3898,3898
"Compare_File_12",1,3670,3670.00,3670.00,3670,3670
"Compare_File_7",1,3661,3661.00,3661.00,3661,3661
"Compare_File_66",1,3659,3659.00,3659.00,3659,3659
"Compare_File_68",1,3608,3608.00,3608.00,3608,3608
"Compare_File_9",1,3589,3589.00,3589.00,3589,3589
"Compare_File_13",1,3478,3478.00,3478.00,3478,3478
"Compare_File_11",1,3439,3439.00,3439.00,3439,3439
"Compare_File_19",1,3354,3354.00,3354.00,3354,3354
"Compare_File_195",1,3223,3223.00,3223.00,3223,3223
"Compare_File_18",1,3157,3157.00,3157.00,3157,3157
"Compare_File_16",1,3148,3148.00,3148.00,3148,3148
"Compare_File_14",1,3122,3122.00,3122.00,3122,3122
"Compare_File_23",1,3122,3122.00,3122.00,3122,3122
"Compare_File_22",1,3122,3122.00,3122.00,3122,3122
"Compare_File_6",1,2991,2991.00,2991.00,2991,2991
"Compare_File_24",1,2962,2962.00,2962.00,2962,2962
"Compare_File_21",1,2939,2939.00,2939.00,2939,2939
"Compare_File_17",1,2856,2856.00,2856.00,2856,2856
"Compare_File_20",1,2743,2743.00,2743.00,2743,2743
"Compare_File_15",1,2740,2740.00,2740.00,2740,2740
"Compare_File_0",1,2737,2737.00,2737.00,2737,2737
"Compare_File_2",1,2737,2737.00,2737.00,2737,2737
"Compare_File_52",1,2724,2724.00,2724.00,2724,2724
"Compare_File_54",1,2679,2679.00,2679.00,2679,2679
"Compare_File_53",1,2580,2580.00,2580.00,2580,2580
"Compare_File_51",1,2529,2529.00,2529.00,2529,2529
"Compare_File_47",1,2529,2529.00,2529.00,2529,2529
"Compare_File_43",1,2452,2452.00,2452.00,2452,2452
"Compare_File_44",1,2451,2451.00,2451.00,2451,2451
"Compare_File_48",1,2267,2267.00,2267.00,2267,2267
"Compare_File_500",1,1665,1665.00,1665.00,1665,1665
"Compare_File_485",1,1640,1640.00,1640.00,1640,1640
"Compare_File_524",1,1442,1442.00,1442.00,1442,1442
"Compare_File_969",1,1441,1441.00,1441.00,1441,1441
"Generate_Config_Fingerprint",4002,1379,0.34,0.00,0,192
"Compare_File_582",1,1229,1229.00,1229.00,1229,1229
"Compare_File_1865",1,1047,1047.00,1047.00,1047,1047
"Compare_File_1127",1,1028,1028.00,1028.00,1028,1028
"Compare_File_1951",1,1015,1015.00,1015.00,1015,1015
"Compare_File_3420",1,953,953.00,953.00,953,953
"Compare_File_608",1,946,946.00,946.00,946,946
"Compare_File_1962",1,944,944.00,944.00,944,944
"Compare_File_1041",1,931,931.00,931.00,931,931
"Compare_File_3090",1,922,922.00,922.00,922,922
"Compare_File_3430",1,899,899.00,899.00,899,899
"Compare_File_84",1,882,882.00,882.00,882,882
"Compare_File_3434",1,863,863.00,863.00,863,863
"Compare_File_3440",1,851,851.00,851.00,851,851
"Compare_File_1987",1,827,827.00,827.00,827,827
"Compare_File_3735",1,819,819.00,819.00,819,819
"Compare_File_1953",1,814,814.00,814.00,814,814
"Compare_File_951",1,814,814.00,814.00,814,814
"Compare_File_1692",1,779,779.00,779.00,779,779
"Compare_File_3907",1,777,777.00,777.00,777,777
"Compare_File_3910",1,771,771.00,771.00,771,771
"Compare_File_110",1,770,770.00,770.00,770,770
"Compare_File_963",1,770,770.00,770.00,770,770
"Compare_File_2287",1,763,763.00,763.00,763,763
"Compare_File_2924",1,762,762.00,762.00,762,762
