Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",8000,1166464,145.81,47.00,5,13227
"Compare_Objects",8000,452331,56.54,23.00,1,1669
"Deserialize_Old_ComplexOrderResponse_Xml",8000,379376,47.42,4.00,0,10786
"Deserialize_New_ComplexOrderResponse_Xml",8000,198387,24.80,2.00,0,12729
"Parallel_Comparison",2,58320,29160.00,29160.00,24298,34022
"CompareFolderUploadsAsync",1,45517,45517.00,45517.00,45517,45517
"Generate_File_Hash",16000,22069,1.38,0.00,0,419
"Compare_File_1746",2,13949,6974.50,6974.50,233,13716
"Compare_File_1451",2,12280,6140.00,6140.00,10,12270
"Compare_File_1640",2,11391,5695.50,5695.50,9,11382
"Compare_File_1193",2,11201,5600.50,5600.50,50,11151
"Compare_File_439",2,9528,4764.00,4764.00,238,9290
"Compare_File_275",2,8894,4447.00,4447.00,236,8658
"Compare_File_1389",2,8507,4253.50,4253.50,22,8485
"Compare_File_0",2,8505,4252.50,4252.50,2684,5821
"Compare_File_1160",2,7934,3967.00,3967.00,129,7805
"Compare_File_3",2,7874,3937.00,3937.00,3289,4585
"Compare_File_86",2,7861,3930.50,3930.50,10,7851
"Compare_File_844",2,7849,3924.50,3924.50,10,7839
"Compare_File_297",2,7697,3848.50,3848.50,152,7545
"Compare_File_1677",2,7188,3594.00,3594.00,14,7174
"Compare_File_5",2,7104,3552.00,3552.00,3012,4092
"Compare_File_2",2,7098,3549.00,3549.00,2810,4288
"Compare_File_20",2,6899,3449.50,3449.50,2612,4287
"Compare_File_1",2,6335,3167.50,3167.50,2669,3666
"Compare_File_83",2,6308,3154.00,3154.00,12,6296
"Compare_File_2158",2,6285,3142.50,3142.50,138,6147
"Compare_File_33",2,6250,3125.00,3125.00,2778,3472
"Compare_File_39",2,5766,2883.00,2883.00,2871,2895
"Compare_File_76",2,5388,2694.00,2694.00,14,5374
"Compare_File_24",2,5375,2687.50,2687.50,124,5251
"Compare_File_78",2,5052,2526.00,2526.00,50,5002
"Compare_File_8",2,4932,2466.00,2466.00,339,4593
"Compare_File_12",2,4915,2457.50,2457.50,330,4585
"Compare_File_13",2,4710,2355.00,2355.00,126,4584
"Compare_File_11",2,4704,2352.00,2352.00,121,4583
"Compare_File_7",2,4697,2348.50,2348.50,47,4650
"Compare_File_15",2,4692,2346.00,2346.00,107,4585
"Compare_File_16",2,4691,2345.50,2345.50,106,4585
"Compare_File_10",2,4652,2326.00,2326.00,58,4594
"Compare_File_18",2,4566,2283.00,2283.00,81,4485
"Compare_File_998",2,4441,2220.50,2220.50,563,3878
"Compare_File_19",2,4370,2185.00,2185.00,80,4290
"Compare_File_3275",2,4366,2183.00,2183.00,558,3808
"Compare_File_9",2,4303,2151.50,2151.50,15,4288
"Compare_File_14",2,4221,2110.50,2110.50,230,3991
"Compare_File_50",2,4209,2104.50,2104.50,117,4092
"Compare_File_22",2,4142,2071.00,2071.00,172,3970
"Compare_File_6",2,4099,2049.50,2049.50,203,3896
"Compare_File_23",2,4038,2019.00,2019.00,110,3928
"Compare_File_3299",2,3983,1991.50,1991.50,409,3574
"Compare_File_3277",2,3821,1910.50,1910.50,172,3649
"Compare_File_53",2,3813,1906.50,1906.50,61,3752
"Compare_File_17",2,3785,1892.50,1892.50,85,3700
"Compare_File_4",2,3775,1887.50,1887.50,56,3719
"Compare_File_21",2,3769,1884.50,1884.50,98,3671
"Compare_File_3349",2,3691,1845.50,1845.50,101,3590
"Compare_File_157",2,3447,1723.50,1723.50,827,2620
"Compare_File_44",2,3290,1645.00,1645.00,384,2906
"Compare_File_61",2,3252,1626.00,1626.00,365,2887
"Compare_File_68",2,3218,1609.00,1609.00,82,3136
"Compare_File_3445",2,3151,1575.50,1575.50,63,3088
"Compare_File_47",2,3127,1563.50,1563.50,101,3026
"Compare_File_109",2,3124,1562.00,1562.00,153,2971
"Compare_File_46",2,2978,1489.00,1489.00,180,2798
"Compare_File_34",2,2978,1489.00,1489.00,107,2871
"Compare_File_479",2,2975,1487.50,1487.50,21,2954
"Compare_File_36",2,2960,1480.00,1480.00,240,2720
"Compare_File_285",2,2955,1477.50,1477.50,103,2852
"Compare_File_127",2,2950,1475.00,1475.00,449,2501
"Compare_File_218",2,2923,1461.50,1461.50,119,2804
"Compare_File_952",2,2913,1456.50,1456.50,63,2850
"Compare_File_27",2,2898,1449.00,1449.00,94,2804
"Compare_File_225",2,2896,1448.00,1448.00,94,2802
"Compare_File_227",2,2862,1431.00,1431.00,95,2767
"Compare_File_257",2,2847,1423.50,1423.50,1049,1798
"Compare_File_124",2,2790,1395.00,1395.00,129,2661
"Generate_Config_Fingerprint",8006,2754,0.34,0.00,0,198
"Compare_File_160",2,2744,1372.00,1372.00,25,2719
"Compare_File_476",2,2696,1348.00,1348.00,72,2624
"Compare_File_116",2,2679,1339.50,1339.50,157,2522
"Compare_File_2705",2,2651,1325.50,1325.50,189,2462
"Compare_File_49",2,2622,1311.00,1311.00,111,2511
"Compare_File_45",2,2599,1299.50,1299.50,149,2450
"Compare_File_474",2,2595,1297.50,1297.50,191,2404
"Compare_File_928",2,2573,1286.50,1286.50,874,1699
"Compare_File_26",2,2572,1286.00,1286.00,54,2518
"Compare_File_304",2,2570,1285.00,1285.00,54,2516
"Compare_File_28",2,2553,1276.50,1276.50,86,2467
"Compare_File_445",2,2526,1263.00,1263.00,146,2380
"Compare_File_201",2,2522,1261.00,1261.00,44,2478
