Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",8000,1082431,135.30,51.00,5,10877
"Compare_Objects",8000,444708,55.59,24.00,0,1112
"Deserialize_Old_ComplexOrderResponse_Xml",8000,299221,37.40,4.00,0,10342
"Deserialize_New_ComplexOrderResponse_Xml",8000,198635,24.83,2.00,0,10861
"Parallel_Comparison",2,50211,25105.50,25105.50,20791,29420
"CompareFolderUploadsAsync",1,41886,41886.00,41886.00,41886,41886
"Generate_File_Hash",16000,19855,1.24,0.00,0,274
"Compare_File_2330",2,10932,5466.00,5466.00,53,10879
"Compare_File_2425",2,10395,5197.50,5197.50,25,10370
"Compare_File_842",2,10218,5109.00,5109.00,45,10173
"Compare_File_840",2,10035,5017.50,5017.50,52,9983
"Compare_File_776",2,9659,4829.50,4829.50,112,9547
"Compare_File_68",2,8047,4023.50,4023.50,3608,4439
"Compare_File_1254",2,7933,3966.50,3966.50,114,7819
"Compare_File_1",2,7797,3898.50,3898.50,3745,4052
"Compare_File_16",2,7611,3805.50,3805.50,3148,4463
"Compare_File_4",2,7461,3730.50,3730.50,72,7389
"Compare_File_1262",2,6900,3450.00,3450.00,129,6771
"Compare_File_1257",2,6655,3327.50,3327.50,173,6482
"Compare_File_293",2,6643,3321.50,3321.50,85,6558
"Compare_File_484",2,6548,3274.00,3274.00,36,6512
"Compare_File_225",2,6272,3136.00,3136.00,110,6162
"Compare_File_1264",2,6173,3086.50,3086.50,26,6147
"Compare_File_0",2,5056,2528.00,2528.00,2319,2737
"Compare_File_245",2,4673,2336.50,2336.50,107,4566
"Compare_File_250",2,4531,2265.50,2265.50,245,4286
"Compare_File_1251",2,4345,2172.50,2172.50,94,4251
"Compare_File_175",2,4269,2134.50,2134.50,11,4258
"Compare_File_10",2,4109,2054.50,2054.50,15,4094
"Compare_File_3",2,4030,2015.00,2015.00,89,3941
"Compare_File_83",2,4022,2011.00,2011.00,59,3963
"Compare_File_8",2,4017,2008.50,2008.50,6,4011
"Compare_File_5",2,3921,1960.50,1960.50,23,3898
"Compare_File_66",2,3737,1868.50,1868.50,78,3659
"Compare_File_447",2,3728,1864.00,1864.00,132,3596
"Compare_File_7",2,3695,1847.50,1847.50,34,3661
"Compare_File_12",2,3677,1838.50,1838.50,7,3670
"Compare_File_9",2,3595,1797.50,1797.50,6,3589
"Compare_File_13",2,3503,1751.50,1751.50,25,3478
"Compare_File_11",2,3460,1730.00,1730.00,21,3439
"Compare_File_84",2,3424,1712.00,1712.00,882,2542
"Compare_File_19",2,3365,1682.50,1682.50,11,3354
"Compare_File_22",2,3263,1631.50,1631.50,141,3122
"Compare_File_195",2,3255,1627.50,1627.50,32,3223
"Compare_File_110",2,3221,1610.50,1610.50,770,2451
"Compare_File_18",2,3177,1588.50,1588.50,20,3157
"Compare_File_14",2,3143,1571.50,1571.50,21,3122
"Compare_File_23",2,3131,1565.50,1565.50,9,3122
"Compare_File_17",2,3046,1523.00,1523.00,190,2856
