Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",4000,216731,54.18,36.00,9,995
"Compare_Objects",4000,114226,28.56,23.00,1,424
"Deserialize_Old_ComplexOrderResponse_Xml",4000,55260,13.81,1.00,0,907
"Deserialize_New_ComplexOrderResponse_Xml",4000,22473,5.62,2.00,0,555
"Parallel_Comparison",1,15019,15019.00,15019.00,15019,15019
"Generate_File_Hash",8000,6828,0.85,0.00,0,26
"Generate_Config_Fingerprint",4003,3572,0.89,0.00,0,33
"Compare_File_397",1,1031,1031.00,1031.00,1031,1031
"Compare_File_288",1,890,890.00,890.00,890,890
"Compare_File_282",1,882,882.00,882.00,882,882
"Compare_File_3508",1,705,705.00,705.00,705,705
"Compare_File_768",1,629,629.00,629.00,629,629
"Compare_File_1443",1,614,614.00,614.00,614,614
"Compare_File_385",1,582,582.00,582.00,582,582
"Compare_File_32",1,565,565.00,565.00,565,565
"Compare_File_1760",1,555,555.00,555.00,555,555
"Compare_File_3228",1,542,542.00,542.00,542,542
"Compare_File_404",1,529,529.00,529.00,529,529
"Compare_File_968",1,528,528.00,528.00,528,528
"Compare_File_907",1,525,525.00,525.00,525,525
"Compare_File_3245",1,519,519.00,519.00,519,519
"Compare_File_276",1,508,508.00,508.00,508,508
"Compare_File_3375",1,504,504.00,504.00,504,504
"Compare_File_3242",1,499,499.00,499.00,499,499
"Compare_File_3386",1,495,495.00,495.00,495,495
"Compare_File_281",1,489,489.00,489.00,489,489
"Compare_File_3246",1,486,486.00,486.00,486,486
"Compare_File_3382",1,485,485.00,485.00,485,485
"Compare_File_3239",1,481,481.00,481.00,481,481
"Compare_File_394",1,478,478.00,478.00,478,478
"Compare_File_3388",1,474,474.00,474.00,474,474
"Compare_File_3376",1,473,473.00,473.00,473,473
"Compare_File_3241",1,473,473.00,473.00,473,473
"Compare_File_2553",1,473,473.00,473.00,473,473
"Compare_File_2551",1,473,473.00,473.00,473,473
"Compare_File_10",1,472,472.00,472.00,472,472
"Compare_File_11",1,471,471.00,471.00,471,471
"Compare_File_9",1,471,471.00,471.00,471,471
"Compare_File_5",1,471,471.00,471.00,471,471
"Compare_File_257",1,471,471.00,471.00,471,471
"Compare_File_12",1,471,471.00,471.00,471,471
"Compare_File_3",1,471,471.00,471.00,471,471
"Compare_File_6",1,471,471.00,471.00,471,471
"Compare_File_8",1,470,470.00,470.00,470,470
"Compare_File_7",1,470,470.00,470.00,470,470
"Compare_File_2",1,470,470.00,470.00,470,470
"Compare_File_1",1,470,470.00,470.00,470,470
"Compare_File_13",1,468,468.00,468.00,468,468
"Compare_File_14",1,468,468.00,468.00,468,468
"Compare_File_15",1,468,468.00,468.00,468,468
"Compare_File_396",1,467,467.00,467.00,467,467
"Compare_File_3244",1,465,465.00,465.00,465,465
"Compare_File_285",1,463,463.00,463.00,463,463
"Compare_File_935",1,462,462.00,462.00,462,462
"Compare_File_400",1,460,460.00,460.00,460,460
"Compare_File_412",1,460,460.00,460.00,460,460
"Compare_File_284",1,459,459.00,459.00,459,459
"Compare_File_2554",1,458,458.00,458.00,458,458
"Compare_File_395",1,458,458.00,458.00,458,458
"Compare_File_268",1,458,458.00,458.00,458,458
"Compare_File_0",1,458,458.00,458.00,458,458
"Compare_File_4",1,458,458.00,458.00,458,458
"Compare_File_393",1,457,457.00,457.00,457,457
"Compare_File_266",1,455,455.00,455.00,455,455
"Compare_File_3387",1,453,453.00,453.00,453,453
"Compare_File_2550",1,450,450.00,450.00,450,450
"Compare_File_2549",1,449,449.00,449.00,449,449
"Compare_File_3385",1,445,445.00,445.00,445,445
"Compare_File_280",1,445,445.00,445.00,445,445
"Compare_File_3655",1,444,444.00,444.00,444,444
"Compare_File_3247",1,444,444.00,444.00,444,444
"Compare_File_2547",1,443,443.00,443.00,443,443
"Compare_File_3648",1,443,443.00,443.00,443,443
"Compare_File_2545",1,443,443.00,443.00,443,443
"Compare_File_3764",1,443,443.00,443.00,443,443
"Compare_File_3384",1,443,443.00,443.00,443,443
"Compare_File_401",1,439,439.00,439.00,439,439
"Compare_File_2548",1,436,436.00,436.00,436,436
"Compare_File_3658",1,435,435.00,435.00,435,435
"Compare_File_3659",1,434,434.00,434.00,434,434
"Compare_File_287",1,434,434.00,434.00,434,434
"Compare_File_259",1,433,433.00,433.00,433,433
"Compare_File_269",1,431,431.00,431.00,431,431
"Compare_File_53",1,429,429.00,429.00,429,429
"Compare_File_247",1,424,424.00,424.00,424,424
"Compare_File_289",1,421,421.00,421.00,421,421
"Compare_File_3662",1,419,419.00,419.00,419,419
"Compare_File_398",1,416,416.00,416.00,416,416
"Compare_File_2546",1,415,415.00,415.00,415,415
"Compare_File_264",1,413,413.00,413.00,413,413
"Compare_File_3657",1,406,406.00,406.00,406,406
"Compare_File_3656",1,406,406.00,406.00,406,406
"Compare_File_3654",1,400,400.00,400.00,400,400
"Compare_File_263",1,394,394.00,394.00,394,394
"Compare_File_2268",1,382,382.00,382.00,382,382
"Compare_File_2270",1,379,379.00,379.00,379,379
"Compare_File_3763",1,374,374.00,374.00,374,374
"Compare_File_3765",1,372,372.00,372.00,372,372
"Compare_File_2272",1,369,369.00,369.00,369,369
"Compare_File_3769",1,369,369.00,369.00,369,369
"Compare_File_3567",1,368,368.00,368.00,368,368
"Compare_File_1947",1,367,367.00,367.00,367,367
"Compare_File_2269",1,366,366.00,366.00,366,366
"Compare_File_2265",1,364,364.00,364.00,364,364
"Compare_File_3761",1,364,364.00,364.00,364,364
"Compare_File_3760",1,361,361.00,361.00,361,361
"Compare_File_3762",1,351,351.00,351.00,351,351
"Compare_File_505",1,346,346.00,346.00,346,346
"Compare_File_2266",1,345,345.00,345.00,345,345
"Compare_File_2769",1,345,345.00,345.00,345,345
"Compare_File_2267",1,345,345.00,345.00,345,345
"Compare_File_2134",1,344,344.00,344.00,344,344
"Compare_File_2264",1,336,336.00,336.00,336,336
"Compare_File_2771",1,334,334.00,334.00,334,334
"Compare_File_2132",1,334,334.00,334.00,334,334
"Compare_File_1949",1,332,332.00,332.00,332,332
"Compare_File_2271",1,331,331.00,331.00,331,331
"Compare_File_515",1,331,331.00,331.00,331,331
"Compare_File_790",1,330,330.00,330.00,330,330
"Compare_File_1953",1,330,330.00,330.00,330,330
"Compare_File_508",1,330,330.00,330.00,330,330
"Compare_File_1955",1,329,329.00,329.00,329,329
"Compare_File_518",1,327,327.00,327.00,327,327
"Compare_File_2140",1,327,327.00,327.00,327,327
"Compare_File_2135",1,327,327.00,327.00,327,327
"Compare_File_2774",1,326,326.00,326.00,326,326
"Compare_File_794",1,326,326.00,326.00,326,326
"Compare_File_512",1,323,323.00,323.00,323,323
"Compare_File_511",1,323,323.00,323.00,323,323
"Compare_File_1950",1,323,323.00,323.00,323,323
"Compare_File_2131",1,319,319.00,319.00,319,319
"Compare_File_2137",1,317,317.00,317.00,317,317
"Compare_File_793",1,317,317.00,317.00,317,317
"Compare_File_3558",1,317,317.00,317.00,317,317
"Compare_File_1956",1,316,316.00,316.00,316,316
"Compare_File_792",1,316,316.00,316.00,316,316
"Compare_File_3561",1,316,316.00,316.00,316,316
"Compare_File_791",1,316,316.00,316.00,316,316
"Compare_File_3098",1,315,315.00,315.00,315,315
"Compare_File_795",1,315,315.00,315.00,315,315
"Compare_File_3093",1,314,314.00,314.00,314,314
"Compare_File_2136",1,314,314.00,314.00,314,314
"Compare_File_2138",1,314,314.00,314.00,314,314
"Compare_File_1951",1,313,313.00,313.00,313,313
"Compare_File_1442",1,313,313.00,313.00,313,313
"Compare_File_3094",1,312,312.00,312.00,312,312
"Compare_File_3565",1,312,312.00,312.00,312,312
"Compare_File_516",1,309,309.00,309.00,309,309
"Compare_File_799",1,307,307.00,307.00,307,307
"Compare_File_3091",1,307,307.00,307.00,307,307
"Compare_File_1440",1,305,305.00,305.00,305,305
"Compare_File_3092",1,305,305.00,305.00,305,305
"Compare_File_3560",1,304,304.00,304.00,304,304
"Compare_File_514",1,303,303.00,303.00,303,303
"Compare_File_3564",1,303,303.00,303.00,303,303
"Compare_File_1952",1,303,303.00,303.00,303,303
"Compare_File_2133",1,302,302.00,302.00,302,302
"Compare_File_3566",1,302,302.00,302.00,302,302
"Compare_File_3570",1,300,300.00,300.00,300,300
"Compare_File_1437",1,299,299.00,299.00,299,299
"Compare_File_1436",1,299,299.00,299.00,299,299
"Compare_File_642",1,299,299.00,299.00,299,299
"Compare_File_1954",1,296,296.00,296.00,296,296
"Compare_File_796",1,295,295.00,295.00,295,295
"Compare_File_2773",1,292,292.00,292.00,292,292
"Compare_File_513",1,292,292.00,292.00,292,292
"Compare_File_3095",1,291,291.00,291.00,291,291
"Compare_File_635",1,291,291.00,291.00,291,291
"Compare_File_1430",1,288,288.00,288.00,288,288
"Compare_File_1438",1,287,287.00,287.00,287,287
"Compare_File_645",1,287,287.00,287.00,287,287
"Compare_File_2768",1,286,286.00,286.00,286,286
"Compare_File_3096",1,285,285.00,285.00,285,285
"Compare_File_646",1,285,285.00,285.00,285,285
"Compare_File_3097",1,284,284.00,284.00,284,284
"Compare_File_1429",1,284,284.00,284.00,284,284
"Compare_File_806",1,282,282.00,282.00,282,282
"Compare_File_2772",1,281,281.00,281.00,281,281
"Compare_File_643",1,279,279.00,279.00,279,279
"Compare_File_1447",1,278,278.00,278.00,278,278
"Compare_File_2775",1,278,278.00,278.00,278,278
"Compare_File_1439",1,275,275.00,275.00,275,275
"Compare_File_647",1,275,275.00,275.00,275,275
"Compare_File_650",1,273,273.00,273.00,273,273
"Compare_File_644",1,270,270.00,270.00,270,270
"Compare_File_1794",1,264,264.00,264.00,264,264
"Compare_File_649",1,262,262.00,262.00,262,262
"Compare_File_1806",1,262,262.00,262.00,262,262
"Compare_File_1797",1,262,262.00,262.00,262,262
"Compare_File_1805",1,261,261.00,261.00,261,261
"Compare_File_1802",1,260,260.00,260.00,260,260
"Compare_File_2776",1,260,260.00,260.00,260,260
"Compare_File_1803",1,259,259.00,259.00,259,259
"Compare_File_1804",1,252,252.00,252.00,252,252
"Compare_File_1807",1,248,248.00,248.00,248,248
"Compare_File_1801",1,239,239.00,239.00,239,239
"Compare_File_2770",1,218,218.00,218.00,218,218
"Compare_File_2230",1,199,199.00,199.00,199,199
"Compare_File_2734",1,183,183.00,183.00,183,183
"Compare_File_366",1,172,172.00,172.00,172,172
"Compare_File_2921",1,172,172.00,172.00,172,172
"Compare_File_2511",1,170,170.00,170.00,170,170
"Compare_File_2924",1,166,166.00,166.00,166,166
"Compare_File_3365",1,166,166.00,166.00,166,166
"Compare_File_589",1,165,165.00,165.00,165,165
"Compare_File_3366",1,165,165.00,165.00,165,165
"Compare_File_3054",1,162,162.00,162.00,162,162
"Compare_File_3368",1,160,160.00,160.00,160,160
"Compare_File_3367",1,159,159.00,159.00,159,159
"Compare_File_3358",1,157,157.00,157.00,157,157
"Compare_File_2490",1,156,156.00,156.00,156,156
"Compare_File_363",1,155,155.00,155.00,155,155
"Compare_File_3917",1,154,154.00,154.00,154,154
"Compare_File_2925",1,152,152.00,152.00,152,152
"Compare_File_350",1,151,151.00,151.00,151,151
"Compare_File_3362",1,151,151.00,151.00,151,151
"Compare_File_370",1,150,150.00,150.00,150,150
"Compare_File_2927",1,149,149.00,149.00,149,149
"Compare_File_3199",1,148,148.00,148.00,148,148
"Compare_File_2491",1,148,148.00,148.00,148,148
"Compare_File_3349",1,146,146.00,146.00,146,146
"Compare_File_3925",1,146,146.00,146.00,146,146
"Compare_File_2525",1,144,144.00,144.00,144,144
"Compare_File_2234",1,144,144.00,144.00,144,144
"Compare_File_2922",1,144,144.00,144.00,144,144
"Compare_File_2236",1,143,143.00,143.00,143,143
"Compare_File_3181",1,142,142.00,142.00,142,142
"Compare_File_3062",1,141,141.00,141.00,141,141
"Compare_File_3071",1,141,141.00,141.00,141,141
"Compare_File_2928",1,140,140.00,140.00,140,140
"Compare_File_1391",1,140,140.00,140.00,140,140
"Compare_File_3856",1,139,139.00,139.00,139,139
"Compare_File_2246",1,139,139.00,139.00,139,139
"Compare_File_3049",1,139,139.00,139.00,139,139
"Compare_File_3206",1,138,138.00,138.00,138,138
"Compare_File_2344",1,138,138.00,138.00,138,138
"Compare_File_2926",1,137,137.00,137.00,137,137
"Compare_File_348",1,136,136.00,136.00,136,136
"Compare_File_2880",1,136,136.00,136.00,136,136
"Compare_File_2893",1,136,136.00,136.00,136,136
"Compare_File_1113",1,135,135.00,135.00,135,135
