Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareFilesWithCaching",4000,145693,36.42,29.00,9,554
"Compare_Objects",4000,77268,19.32,17.00,0,136
"Deserialize_Old_ComplexOrderResponse_Xml",4000,19968,4.99,1.00,0,411
"Deserialize_New_ComplexOrderResponse_Xml",4000,18155,4.54,4.00,0,526
"Generate_File_Hash",8000,14233,1.78,0.00,0,19
"Parallel_Comparison",1,8405,8405.00,8405.00,8405,8405
"Generate_Config_Fingerprint",4003,1074,0.27,0.00,0,17
"Compare_File_1513",1,554,554.00,554.00,554,554
"Compare_File_1579",1,471,471.00,471.00,471,471
"Compare_File_484",1,444,444.00,444.00,444,444
"Compare_File_479",1,435,435.00,435.00,435,435
"Compare_File_472",1,427,427.00,427.00,427,427
"Compare_File_481",1,423,423.00,423.00,423,423
"Compare_File_5",1,388,388.00,388.00,388,388
"Compare_File_2",1,388,388.00,388.00,388,388
"Compare_File_8",1,387,387.00,387.00,387,387
"Compare_File_9",1,387,387.00,387.00,387,387
"Compare_File_7",1,387,387.00,387.00,387,387
"Compare_File_3",1,387,387.00,387.00,387,387
"Compare_File_10",1,386,386.00,386.00,386,386
"Compare_File_12",1,386,386.00,386.00,386,386
"Compare_File_14",1,385,385.00,385.00,385,385
"Compare_File_15",1,385,385.00,385.00,385,385
"Compare_File_1",1,384,384.00,384.00,384,384
"Compare_File_11",1,383,383.00,383.00,383,383
"Compare_File_13",1,383,383.00,383.00,383,383
"Compare_File_6",1,383,383.00,383.00,383,383
"Compare_File_469",1,377,377.00,377.00,377,377
"Compare_File_468",1,376,376.00,376.00,376,376
"Compare_File_467",1,370,370.00,370.00,370,370
"Compare_File_466",1,368,368.00,368.00,368,368
"Compare_File_0",1,367,367.00,367.00,367,367
"Compare_File_4",1,367,367.00,367.00,367,367
"Compare_File_476",1,364,364.00,364.00,364,364
"Compare_File_477",1,357,357.00,357.00,357,357
"Compare_File_491",1,350,350.00,350.00,350,350
"Compare_File_499",1,343,343.00,343.00,343,343
"Compare_File_498",1,331,331.00,331.00,331,331
"Compare_File_504",1,323,323.00,323.00,323,323
"Compare_File_524",1,193,193.00,193.00,193,193
"Compare_File_523",1,193,193.00,193.00,193,193
"Compare_File_528",1,191,191.00,191.00,191,191
"Compare_File_522",1,190,190.00,190.00,190,190
"Compare_File_525",1,190,190.00,190.00,190,190
"Compare_File_2116",1,187,187.00,187.00,187,187
"Compare_File_526",1,182,182.00,182.00,182,182
"Compare_File_527",1,181,181.00,181.00,181,181
"Compare_File_2105",1,178,178.00,178.00,178,178
"Compare_File_529",1,177,177.00,177.00,177,177
"Compare_File_530",1,177,177.00,177.00,177,177
"Compare_File_2117",1,164,164.00,164.00,164,164
"Compare_File_2114",1,161,161.00,161.00,161,161
"Compare_File_2121",1,160,160.00,160.00,160,160
"Compare_File_2118",1,158,158.00,158.00,158,158
"Compare_File_2119",1,155,155.00,155.00,155,155
"Compare_File_2120",1,154,154.00,154.00,154,154
"Compare_File_2128",1,152,152.00,152.00,152,152
"Compare_File_2816",1,144,144.00,144.00,144,144
"Compare_File_2810",1,134,134.00,134.00,134,134
"Compare_File_2807",1,134,134.00,134.00,134,134
"Compare_File_2812",1,133,133.00,133.00,133,133
"Compare_File_2809",1,132,132.00,132.00,132,132
"Compare_File_2814",1,132,132.00,132.00,132,132
"Compare_File_2818",1,132,132.00,132.00,132,132
"Compare_File_2813",1,131,131.00,131.00,131,131
"Compare_File_1595",1,131,131.00,131.00,131,131
"Compare_File_1591",1,131,131.00,131.00,131,131
"Compare_File_1592",1,127,127.00,127.00,127,127
"Compare_File_1593",1,127,127.00,127.00,127,127
"Compare_File_1594",1,126,126.00,126.00,126,126
"Compare_File_1597",1,125,125.00,125.00,125,125
"Compare_File_2808",1,124,124.00,124.00,124,124
"Compare_File_1590",1,123,123.00,123.00,123,123
"Compare_File_3281",1,121,121.00,121.00,121,121
"Compare_File_1598",1,118,118.00,118.00,118,118
"Compare_File_1596",1,113,113.00,113.00,113,113
"Compare_File_502",1,110,110.00,110.00,110,110
"Compare_File_3228",1,109,109.00,109.00,109,109
"Compare_File_3898",1,104,104.00,104.00,104,104
"Compare_File_3905",1,103,103.00,103.00,103,103
"Compare_File_2769",1,97,97.00,97.00,97,97
"Compare_File_2198",1,95,95.00,95.00,95,95
"Compare_File_2297",1,95,95.00,95.00,95,95
"Compare_File_3906",1,94,94.00,94.00,94,94
"Compare_File_3946",1,93,93.00,93.00,93,93
"Compare_File_2378",1,92,92.00,92.00,92,92
"Compare_File_2374",1,91,91.00,91.00,91,91
"Compare_File_3200",1,91,91.00,91.00,91,91
"Compare_File_2226",1,90,90.00,90.00,90,90
"Compare_File_3913",1,88,88.00,88.00,88,88
"Compare_File_2381",1,88,88.00,88.00,88,88
"Compare_File_483",1,88,88.00,88.00,88,88
"Compare_File_3967",1,86,86.00,86.00,86,86
"Compare_File_511",1,85,85.00,85.00,85,85
"Compare_File_2384",1,85,85.00,85.00,85,85
"Compare_File_510",1,85,85.00,85.00,85,85
"Compare_File_493",1,85,85.00,85.00,85,85
"Compare_File_3268",1,84,84.00,84.00,84,84
"Compare_File_2383",1,84,84.00,84.00,84,84
"Compare_File_1499",1,84,84.00,84.00,84,84
"Compare_File_1498",1,84,84.00,84.00,84,84
"Compare_File_2373",1,84,84.00,84.00,84,84
"Compare_File_1111",1,82,82.00,82.00,82,82
"Compare_File_3312",1,82,82.00,82.00,82,82
"Compare_File_471",1,81,81.00,81.00,81,81
"Compare_File_2869",1,81,81.00,81.00,81,81
"Compare_File_3237",1,81,81.00,81.00,81,81
"Compare_File_1544",1,81,81.00,81.00,81,81
"Compare_File_2385",1,80,80.00,80.00,80,80
"Compare_File_1531",1,80,80.00,80.00,80,80
"Compare_File_1947",1,79,79.00,79.00,79,79
"Compare_File_3960",1,79,79.00,79.00,79,79
"Compare_File_3296",1,79,79.00,79.00,79,79
"Compare_File_3194",1,79,79.00,79.00,79,79
"Compare_File_3260",1,78,78.00,78.00,78,78
"Compare_File_2201",1,78,78.00,78.00,78,78
"Compare_File_3956",1,78,78.00,78.00,78,78
"Compare_File_1503",1,78,78.00,78.00,78,78
"Compare_File_2382",1,77,77.00,77.00,77,77
"Compare_File_3954",1,77,77.00,77.00,77,77
"Compare_File_2190",1,77,77.00,77.00,77,77
"Compare_File_2345",1,76,76.00,76.00,76,76
"Compare_File_482",1,76,76.00,76.00,76,76
"Compare_File_2947",1,76,76.00,76.00,76,76
"Compare_File_3890",1,76,76.00,76.00,76,76
"Compare_File_2284",1,76,76.00,76.00,76,76
"Compare_File_2867",1,76,76.00,76.00,76,76
"Compare_File_3931",1,76,76.00,76.00,76,76
"Compare_File_2070",1,76,76.00,76.00,76,76
"Compare_File_2097",1,76,76.00,76.00,76,76
"Compare_File_485",1,75,75.00,75.00,75,75
"Compare_File_3178",1,75,75.00,75.00,75,75
"Compare_File_2086",1,75,75.00,75.00,75,75
"Compare_File_2888",1,75,75.00,75.00,75,75
"Compare_File_2238",1,74,74.00,74.00,74,74
"Compare_File_2386",1,74,74.00,74.00,74,74
"Compare_File_1392",1,74,74.00,74.00,74,74
"Compare_File_1552",1,74,74.00,74.00,74,74
"Compare_File_2743",1,74,74.00,74.00,74,74
"Compare_File_3963",1,74,74.00,74.00,74,74
"Compare_File_1538",1,74,74.00,74.00,74,74
"Compare_File_3966",1,74,74.00,74.00,74,74
"Compare_File_473",1,73,73.00,73.00,73,73
"Compare_File_1582",1,73,73.00,73.00,73,73
"Compare_File_2901",1,73,73.00,73.00,73,73
"Compare_File_2323",1,72,72.00,72.00,72,72
"Compare_File_2801",1,72,72.00,72.00,72,72
"Compare_File_2048",1,72,72.00,72.00,72,72
"Compare_File_2210",1,72,72.00,72.00,72,72
"Compare_File_2732",1,72,72.00,72.00,72,72
"Compare_File_3238",1,72,72.00,72.00,72,72
"Compare_File_3210",1,72,72.00,72.00,72,72
"Compare_File_2231",1,72,72.00,72.00,72,72
"Compare_File_1516",1,72,72.00,72.00,72,72
"Compare_File_2080",1,71,71.00,71.00,71,71
"Compare_File_2898",1,71,71.00,71.00,71,71
"Compare_File_2729",1,71,71.00,71.00,71,71
"Compare_File_1497",1,71,71.00,71.00,71,71
"Compare_File_3192",1,71,71.00,71.00,71,71
"Compare_File_1679",1,71,71.00,71.00,71,71
"Compare_File_2046",1,70,70.00,70.00,70,70
"Compare_File_505",1,70,70.00,70.00,70,70
"Compare_File_1523",1,70,70.00,70.00,70,70
"Compare_File_2739",1,70,70.00,70.00,70,70
"Compare_File_3197",1,70,70.00,70.00,70,70
"Compare_File_2900",1,70,70.00,70.00,70,70
"Compare_File_2019",1,69,69.00,69.00,69,69
"Compare_File_3908",1,69,69.00,69.00,69,69
