Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,105183,105.18,14.00,7,3437
"Compare_Objects",1000,43301,43.30,1.00,0,777
"Apply_Config_Settings",1000,10306,10.31,4.00,1,734
"Parallel_Comparison",1,3735,3735.00,3735.00,3735,3735
"Compare_File_30",1,3445,3445.00,3445.00,3445,3445
"Compare_File_31",1,3442,3442.00,3442.00,3442,3442
"Compare_File_29",1,2958,2958.00,2958.00,2958,2958
"Compare_File_190",1,2796,2796.00,2796.00,2796,2796
"Compare_File_193",1,2787,2787.00,2787.00,2787,2787
"Compare_File_197",1,2768,2768.00,2768.00,2768,2768
"Compare_File_215",1,2709,2709.00,2709.00,2709,2709
"Compare_File_307",1,2218,2218.00,2218.00,2218,2218
"Compare_File_386",1,1501,1501.00,1501.00,1501,1501
"Compare_File_28",1,1075,1075.00,1075.00,1075,1075
"Compare_File_27",1,1073,1073.00,1073.00,1073,1073
"Compare_File_26",1,1072,1072.00,1072.00,1072,1072
"Compare_File_484",1,1062,1062.00,1062.00,1062,1062
"Compare_File_483",1,1056,1056.00,1056.00,1056,1056
"Compare_File_7",1,1052,1052.00,1052.00,1052,1052
"Compare_File_2",1,1031,1031.00,1031.00,1031,1031
"Compare_File_5",1,1029,1029.00,1029.00,1029,1029
"Compare_File_240",1,1025,1025.00,1025.00,1025,1025
"Compare_File_25",1,999,999.00,999.00,999,999
"Compare_File_259",1,980,980.00,980.00,980,980
"Compare_File_24",1,973,973.00,973.00,973,973
"Compare_File_263",1,970,970.00,970.00,970,970
"Compare_File_260",1,967,967.00,967.00,967,967
"Compare_File_185",1,960,960.00,960.00,960,960
"Compare_File_183",1,955,955.00,955.00,955,955
"Compare_File_262",1,953,953.00,953.00,953,953
"Compare_File_264",1,946,946.00,946.00,946,946
"Compare_File_4",1,942,942.00,942.00,942,942
"Deserialize_Old_SoapEnvelope",1000,939,0.94,0.00,0,105
"Compare_File_10",1,936,936.00,936.00,936,936
"Pattern_Analysis",1,936,936.00,936.00,936,936
"Compare_File_186",1,928,928.00,928.00,928,928
"Compare_File_3",1,921,921.00,921.00,921,921
"Compare_File_187",1,919,919.00,919.00,919,919
"Compare_File_524",1,880,880.00,880.00,880,880
"Compare_File_6",1,868,868.00,868.00,868,868
"Compare_File_553",1,849,849.00,849.00,849,849
"Compare_File_552",1,849,849.00,849.00,849,849
"Compare_File_550",1,844,844.00,844.00,844,844
"Compare_File_555",1,844,844.00,844.00,844,844
"Compare_File_22",1,841,841.00,841.00,841,841
"Compare_File_554",1,837,837.00,837.00,837,837
"Compare_File_742",1,832,832.00,832.00,832,832
"Compare_File_9",1,828,828.00,828.00,828,828
"Compare_File_549",1,809,809.00,809.00,809,809
"Compare_File_546",1,807,807.00,807.00,807,807
"Compare_File_547",1,800,800.00,800.00,800,800
"Compare_File_8",1,800,800.00,800.00,800,800
"Compare_File_1",1,792,792.00,792.00,792,792
"Compare_File_752",1,791,791.00,791.00,791,791
"Compare_File_544",1,789,789.00,789.00,789,789
"Compare_File_756",1,787,787.00,787.00,787,787
"Compare_File_545",1,784,784.00,784.00,784,784
"Compare_File_548",1,777,777.00,777.00,777,777
"Compare_File_551",1,776,776.00,776.00,776,776
"Compare_File_0",1,774,774.00,774.00,774,774
"Compare_File_14",1,766,766.00,766.00,766,766
"Compare_File_241",1,764,764.00,764.00,764,764
"Compare_File_11",1,764,764.00,764.00,764,764
"Compare_File_764",1,755,755.00,755.00,755,755
"Compare_File_763",1,749,749.00,749.00,749,749
"Compare_File_556",1,748,748.00,748.00,748,748
"Compare_File_12",1,744,744.00,744.00,744,744
"Compare_File_261",1,737,737.00,737.00,737,737
"Compare_File_13",1,735,735.00,735.00,735,735
"Compare_File_265",1,723,723.00,723.00,723,723
"Compare_File_772",1,719,719.00,719.00,719,719
"Compare_File_771",1,716,716.00,716.00,716,716
"Compare_File_749",1,697,697.00,697.00,697,697
"Compare_File_762",1,666,666.00,666.00,666,666
"Compare_File_266",1,666,666.00,666.00,666,666
"Compare_File_759",1,658,658.00,658.00,658,658
"Compare_File_769",1,648,648.00,648.00,648,648
"Compare_File_770",1,645,645.00,645.00,645,645
"Compare_File_766",1,643,643.00,643.00,643,643
"Compare_File_768",1,642,642.00,642.00,642,642
"Compare_File_268",1,638,638.00,638.00,638,638
"Compare_File_267",1,638,638.00,638.00,638,638
"Compare_File_614",1,637,637.00,637.00,637,637
"Compare_File_767",1,632,632.00,632.00,632,632
"Compare_File_765",1,632,632.00,632.00,632,632
"Compare_File_409",1,572,572.00,572.00,572,572
"Compare_File_853",1,496,496.00,496.00,496,496
"Compare_File_39",1,475,475.00,475.00,475,475
"Compare_File_147",1,441,441.00,441.00,441,441
"Compare_File_457",1,420,420.00,420.00,420,420
"Compare_File_159",1,397,397.00,397.00,397,397
"Compare_File_816",1,379,379.00,379.00,379,379
"Compare_File_171",1,349,349.00,349.00,349,349
"Compare_File_461",1,347,347.00,347.00,347,347
"Compare_File_460",1,336,336.00,336.00,336,336
"Compare_File_458",1,332,332.00,332.00,332,332
"Compare_File_463",1,314,314.00,314.00,314,314
"Compare_File_467",1,284,284.00,284.00,284,284
"Compare_File_184",1,281,281.00,281.00,281,281
"Compare_File_306",1,246,246.00,246.00,246,246
"Compare_File_38",1,245,245.00,245.00,245,245
"Compare_File_939",1,219,219.00,219.00,219,219
"Compare_File_940",1,219,219.00,219.00,219,219
"Compare_File_313",1,187,187.00,187.00,187,187
"Compare_File_817",1,173,173.00,173.00,173,173
"Compare_File_16",1,173,173.00,173.00,173,173
"Compare_File_15",1,173,173.00,173.00,173,173
"Compare_File_17",1,170,170.00,170.00,170,170
"Compare_File_18",1,166,166.00,166.00,166,166
"Compare_File_19",1,163,163.00,163.00,163,163
"Compare_File_743",1,162,162.00,162.00,162,162
"Clone_Old_SoapEnvelope",1000,162,0.16,0.00,0,11
"Compare_File_77",1,161,161.00,161.00,161,161
