Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,95897,95.90,13.00,6,3163
"Apply_Config_Settings",1000,7820,7.82,4.00,1,596
"Parallel_Comparison",1,3321,3321.00,3321.00,3321,3321
"Compare_File_1",1,3175,3175.00,3175.00,3175,3175
"Compare_File_10",1,3171,3171.00,3171.00,3171,3171
"Compare_File_13",1,3159,3159.00,3159.00,3159,3159
"Compare_File_17",1,3133,3133.00,3133.00,3133,3133
"Compare_File_0",1,3121,3121.00,3121.00,3121,3121
"Compare_File_21",1,3081,3081.00,3081.00,3081,3081
"Compare_File_19",1,3080,3080.00,3080.00,3080,3080
"Compare_File_22",1,3077,3077.00,3077.00,3077,3077
"Compare_File_24",1,3075,3075.00,3075.00,3075,3075
"Compare_File_23",1,3073,3073.00,3073.00,3073,3073
"Compare_File_25",1,3072,3072.00,3072.00,3072,3072
"Compare_File_29",1,3069,3069.00,3069.00,3069,3069
"Compare_File_30",1,3068,3068.00,3068.00,3068,3068
"Compare_File_28",1,3066,3066.00,3066.00,3066,3066
"Compare_File_31",1,3065,3065.00,3065.00,3065,3065
"Compare_File_27",1,3065,3065.00,3065.00,3065,3065
"Compare_File_35",1,2941,2941.00,2941.00,2941,2941
"Compare_File_32",1,2916,2916.00,2916.00,2916,2916
"Compare_File_42",1,2912,2912.00,2912.00,2912,2912
"Compare_File_48",1,2869,2869.00,2869.00,2869,2869
"Compare_File_118",1,2709,2709.00,2709.00,2709,2709
"Compare_File_120",1,2703,2703.00,2703.00,2703,2703
"Compare_File_308",1,2064,2064.00,2064.00,2064,2064
"Compare_Objects",1000,1725,1.73,0.00,0,61
"Compare_File_16",1,1021,1021.00,1021.00,1021,1021
"Deserialize_Old_SoapEnvelope",1000,1014,1.01,0.00,0,101
"Compare_File_20",1,995,995.00,995.00,995,995
"Compare_File_26",1,975,975.00,975.00,975,975
"Compare_File_650",1,837,837.00,837.00,837,837
"Compare_File_696",1,601,601.00,601.00,601,601
"Compare_File_306",1,562,562.00,562.00,562,562
"Compare_File_15",1,561,561.00,561.00,561,561
"Compare_File_152",1,459,459.00,459.00,459,459
"Compare_File_496",1,458,458.00,458.00,458,458
"Compare_File_498",1,454,454.00,454.00,454,454
"Compare_File_51",1,323,323.00,323.00,323,323
"Compare_File_12",1,257,257.00,257.00,257,257
"Compare_File_50",1,238,238.00,238.00,238,238
"Compare_File_728",1,228,228.00,228.00,228,228
"Compare_File_18",1,228,228.00,228.00,228,228
"Compare_File_410",1,222,222.00,222.00,222,222
"Compare_File_11",1,217,217.00,217.00,217,217
"Compare_File_9",1,215,215.00,215.00,215,215
"Compare_File_8",1,214,214.00,214.00,214,214
"Compare_File_7",1,212,212.00,212.00,212,212
"Compare_File_5",1,211,211.00,211.00,211,211
"Compare_File_6",1,211,211.00,211.00,211,211
"Compare_File_2",1,211,211.00,211.00,211,211
"Compare_File_3",1,211,211.00,211.00,211,211
"Compare_File_4",1,211,211.00,211.00,211,211
