Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,105552,105.55,14.00,7,3488
"Apply_Config_Settings",1000,8561,8.56,4.00,1,469
"Parallel_Comparison",1,3655,3655.00,3655.00,3655,3655
"Compare_File_10",1,3500,3500.00,3500.00,3500,3500
"Compare_File_1",1,3494,3494.00,3494.00,3494,3494
"Compare_File_4",1,3492,3492.00,3492.00,3492,3492
"Compare_File_22",1,3390,3390.00,3390.00,3390,3390
"Compare_File_17",1,3372,3372.00,3372.00,3372,3372
"Compare_File_19",1,3370,3370.00,3370.00,3370,3370
"Compare_File_18",1,3370,3370.00,3370.00,3370,3370
"Compare_File_20",1,3351,3351.00,3351.00,3351,3351
"Compare_File_23",1,3344,3344.00,3344.00,3344,3344
"Compare_File_24",1,3341,3341.00,3341.00,3341,3341
"Compare_File_25",1,3335,3335.00,3335.00,3335,3335
"Compare_File_28",1,3334,3334.00,3334.00,3334,3334
"Compare_File_27",1,3333,3333.00,3333.00,3333,3333
"Compare_File_30",1,3331,3331.00,3331.00,3331,3331
"Compare_File_29",1,3330,3330.00,3330.00,3330,3330
"Compare_File_26",1,3314,3314.00,3314.00,3314,3314
"Compare_File_31",1,3293,3293.00,3293.00,3293,3293
"Compare_File_37",1,3170,3170.00,3170.00,3170,3170
"Compare_File_35",1,3169,3169.00,3169.00,3169,3169
"Compare_File_45",1,3163,3163.00,3163.00,3163,3163
"Compare_File_52",1,3113,3113.00,3113.00,3113,3113
"Compare_File_138",1,2798,2798.00,2798.00,2798,2798
"Compare_File_16",1,2174,2174.00,2174.00,2174,2174
"Compare_File_350",1,2162,2162.00,2162.00,2162,2162
"Compare_Objects",1000,2143,2.14,1.00,0,83
"Deserialize_Old_SoapEnvelope",1000,1449,1.45,0.00,0,158
"Compare_File_702",1,970,970.00,970.00,970,970
"Compare_File_729",1,949,949.00,949.00,949,949
"Compare_File_15",1,814,814.00,814.00,814,814
"Compare_File_14",1,784,784.00,784.00,784,784
"Compare_File_21",1,733,733.00,733.00,733,733
"Compare_File_13",1,617,617.00,617.00,617,617
"Compare_File_190",1,498,498.00,498.00,498,498
"Compare_File_12",1,423,423.00,423.00,423,423
"Compare_File_701",1,391,391.00,391.00,391,391
"Compare_File_189",1,382,382.00,382.00,382,382
"Compare_File_690",1,362,362.00,362.00,362,362
"Compare_File_479",1,342,342.00,342.00,342,342
"Compare_File_177",1,332,332.00,332.00,332,332
"Compare_File_589",1,325,325.00,325.00,325,325
"Compare_File_11",1,312,312.00,312.00,312,312
"Compare_File_907",1,311,311.00,311.00,311,311
"Compare_File_9",1,310,310.00,310.00,310,310
"Compare_File_8",1,301,301.00,301.00,301,301
"Compare_File_7",1,300,300.00,300.00,300,300
"Compare_File_354",1,299,299.00,299.00,299,299
"Compare_File_5",1,297,297.00,297.00,297,297
"Compare_File_0",1,296,296.00,296.00,296,296
"Compare_File_6",1,296,296.00,296.00,296,296
"Compare_File_2",1,296,296.00,296.00,296,296
"Compare_File_3",1,296,296.00,296.00,296,296
"Compare_File_477",1,266,266.00,266.00,266,266
"Compare_File_639",1,204,204.00,204.00,204,204
"Compare_File_66",1,202,202.00,202.00,202,202
"Clone_Old_SoapEnvelope",1000,197,0.20,0.00,0,13
"Compare_File_588",1,168,168.00,168.00,168,168
"Compare_File_428",1,164,164.00,164.00,164,164
"Compare_File_906",1,161,161.00,161.00,161,161
"Compare_File_255",1,159,159.00,159.00,159,159
"Compare_File_307",1,159,159.00,159.00,159,159
"Compare_File_367",1,149,149.00,149.00,149,149
"Compare_File_819",1,140,140.00,140.00,140,140
"Compare_File_629",1,129,129.00,129.00,129,129
"Pattern_Analysis",1,129,129.00,129.00,129,129
"Compare_File_387",1,126,126.00,126.00,126,126
"Compare_File_560",1,123,123.00,123.00,123,123
"Compare_File_520",1,122,122.00,122.00,122,122
"Compare_File_320",1,114,114.00,114.00,114,114
"Compare_File_122",1,112,112.00,112.00,112,112
"Compare_File_40",1,110,110.00,110.00,110,110
"Compare_File_200",1,109,109.00,109.00,109,109
"Compare_File_820",1,107,107.00,107.00,107,107
