Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,381170,381.17,214.50,87,7459
"Compare_Objects",1000,192064,192.06,88.00,9,6745
"Apply_Config_Settings",1000,132728,132.73,77.00,18,1915
"Parallel_Comparison",1,12610,12610.00,12610.00,12610,12610
"Compare_File_6",1,7529,7529.00,7529.00,7529,7529
"Compare_File_77",1,7457,7457.00,7457.00,7457,7457
"Compare_File_16",1,7176,7176.00,7176.00,7176,7176
"Compare_File_3",1,5917,5917.00,5917.00,5917,5917
"Compare_File_12",1,4620,4620.00,4620.00,4620,4620
"Compare_File_573",1,4522,4522.00,4522.00,4522,4522
"Compare_File_0",1,4477,4477.00,4477.00,4477,4477
"Compare_File_26",1,3754,3754.00,3754.00,3754,3754
"Compare_File_650",1,2979,2979.00,2979.00,2979,2979
"Compare_File_69",1,2889,2889.00,2889.00,2889,2889
"Compare_File_579",1,2674,2674.00,2674.00,2674,2674
"Compare_File_48",1,2476,2476.00,2476.00,2476,2476
"Compare_File_761",1,2460,2460.00,2460.00,2460,2460
"Compare_File_610",1,2379,2379.00,2379.00,2379,2379
"Compare_File_738",1,2334,2334.00,2334.00,2334,2334
"Compare_File_368",1,2282,2282.00,2282.00,2282,2282
"Compare_File_810",1,2279,2279.00,2279.00,2279,2279
"Compare_File_510",1,2188,2188.00,2188.00,2188,2188
"Compare_File_51",1,2154,2154.00,2154.00,2154,2154
"Compare_File_10",1,2089,2089.00,2089.00,2089,2089
"Compare_File_475",1,2054,2054.00,2054.00,2054,2054
"Compare_File_726",1,2029,2029.00,2029.00,2029,2029
"Compare_File_523",1,1981,1981.00,1981.00,1981,1981
"Compare_File_576",1,1969,1969.00,1969.00,1969,1969
"Compare_File_494",1,1922,1922.00,1922.00,1922,1922
"Deserialize_Old_SoapEnvelope",1000,1920,1.92,0.00,0,135
"Compare_File_345",1,1773,1773.00,1773.00,1773,1773
"Compare_File_295",1,1705,1705.00,1705.00,1705,1705
"Compare_File_365",1,1700,1700.00,1700.00,1700,1700
"Compare_File_865",1,1640,1640.00,1640.00,1640,1640
