Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1003,95181,94.90,9.00,6,2665
"Apply_Config_Settings",1003,20106,20.05,2.00,1,2633
"Normalize_Properties",1003,14012,13.97,0.00,0,352
"Compare_Objects",1003,9236,9.21,0.00,0,351
"Parallel_Comparison",1,3549,3549.00,3549.00,3549,3549
"Compare_File_225",1,2670,2670.00,2670.00,2670,2670
"Compare_File_224",1,2667,2667.00,2667.00,2667,2667
"Compare_File_220",1,2667,2667.00,2667.00,2667,2667
"Compare_File_218",1,2667,2667.00,2667.00,2667,2667
"Compare_File_217",1,2664,2664.00,2664.00,2664,2664
"Compare_File_223",1,2661,2661.00,2661.00,2661,2661
"Compare_File_227",1,2661,2661.00,2661.00,2661,2661
"Compare_File_226",1,2660,2660.00,2660.00,2660,2660
"Compare_File_221",1,2657,2657.00,2657.00,2657,2657
"Compare_File_230",1,2651,2651.00,2651.00,2651,2651
"Compare_File_228",1,2646,2646.00,2646.00,2646,2646
"Compare_File_232",1,2641,2641.00,2641.00,2641,2641
"Compare_File_234",1,2626,2626.00,2626.00,2626,2626
"Compare_File_11",1,2046,2046.00,2046.00,2046,2046
"Compare_File_12",1,2041,2041.00,2041.00,2041,2041
"Compare_File_13",1,2040,2040.00,2040.00,2040,2040
"Compare_File_14",1,2024,2024.00,2024.00,2024,2024
"Compare_File_10",1,1808,1808.00,1808.00,1808,1808
"Compare_File_8",1,1802,1802.00,1802.00,1802,1802
"Compare_File_331",1,1653,1653.00,1653.00,1653,1653
"Compare_File_2",1,1446,1446.00,1446.00,1446,1446
"Compare_File_5",1,1436,1436.00,1436.00,1436,1436
"Compare_File_211",1,1407,1407.00,1407.00,1407,1407
"Compare_File_412",1,1355,1355.00,1355.00,1355,1355
"Compare_File_6",1,1162,1162.00,1162.00,1162,1162
"Compare_File_605",1,1158,1158.00,1158.00,1158,1158
"Compare_File_602",1,1153,1153.00,1153.00,1153,1153
"Compare_File_601",1,1148,1148.00,1148.00,1148,1148
"Compare_File_603",1,1148,1148.00,1148.00,1148,1148
"Compare_File_604",1,1146,1146.00,1146.00,1146,1146
"Compare_File_516",1,1014,1014.00,1014.00,1014,1014
"Compare_File_236",1,1008,1008.00,1008.00,1008,1008
"Compare_File_517",1,996,996.00,996.00,996,996
"Compare_File_705",1,971,971.00,971.00,971,971
"Compare_File_408",1,961,961.00,961.00,961,961
"Compare_File_410",1,959,959.00,959.00,959,959
"Compare_File_330",1,934,934.00,934.00,934,934
"Compare_File_7",1,786,786.00,786.00,786,786
"Compare_File_4",1,784,784.00,784.00,784,784
"Compare_File_1",1,771,771.00,771.00,771,771
"Compare_File_210",1,768,768.00,768.00,768,768
"Compare_File_596",1,765,765.00,765.00,765,765
"Compare_File_597",1,761,761.00,761.00,761,761
"Compare_File_721",1,690,690.00,690.00,690,690
"Compare_File_409",1,657,657.00,657.00,657,657
"Compare_File_834",1,536,536.00,536.00,536,536
"Compare_File_830",1,535,535.00,535.00,535,535
"Compare_File_833",1,535,535.00,535.00,535,535
"Compare_File_831",1,533,533.00,533.00,533,533
"Compare_File_832",1,533,533.00,533.00,533,533
"Compare_File_802",1,505,505.00,505.00,505,505
"Compare_File_212",1,482,482.00,482.00,482,482
"Compare_File_828",1,455,455.00,455.00,455,455
"Compare_File_703",1,448,448.00,448.00,448,448
"Compare_File_704",1,446,446.00,446.00,446,446
"Compare_File_300",1,433,433.00,433.00,433,433
"Compare_File_600",1,408,408.00,408.00,408,408
"Compare_File_235",1,395,395.00,395.00,395,395
"Compare_File_407",1,382,382.00,382.00,382,382
"Compare_File_237",1,376,376.00,376.00,376,376
"Compare_File_411",1,366,366.00,366.00,366,366
"Compare_File_598",1,346,346.00,346.00,346,346
"Compare_File_827",1,336,336.00,336.00,336,336
"Compare_File_599",1,336,336.00,336.00,336,336
"Compare_File_829",1,331,331.00,331.00,331,331
"Compare_File_514",1,322,322.00,322.00,322,322
"Compare_File_329",1,317,317.00,317.00,317,317
"Compare_File_513",1,316,316.00,316.00,316,316
"Compare_File_512",1,315,315.00,315.00,315,315
"CompareFoldersInBatchesAsync",1,290,290.00,290.00,290,290
"Pattern_Analysis",1,267,267.00,267.00,267,267
"Compare_File_339",1,237,237.00,237.00,237,237
"Compare_File_934",1,217,217.00,217.00,217,217
"Compare_File_216",1,155,155.00,155.00,155,155
"Batch_1",1,144,144.00,144.00,144,144
"Compare_File_164",1,143,143.00,143.00,143,143
"Compare_File_213",1,140,140.00,140.00,140,140
"Compare_File_214",1,136,136.00,136.00,136,136
"Compare_File_930",1,134,134.00,134.00,134,134
"Compare_File_215",1,132,132.00,132.00,132,132
"Compare_File_961",1,127,127.00,127.00,127,127
"Compare_File_931",1,127,127.00,127.00,127,127
"Compare_File_748",1,127,127.00,127.00,127,127
"Compare_File_962",1,125,125.00,125.00,125,125
"Compare_File_963",1,125,125.00,125.00,125,125
"Compare_File_965",1,124,124.00,124.00,124,124
"Compare_File_2.xml",1,124,124.00,124.00,124,124
"Compare_File_964",1,123,123.00,123.00,123,123
"Compare_File_966",1,120,120.00,120.00,120,120
"Compare_File_203",1,119,119.00,119.00,119,119
"Compare_File_968",1,118,118.00,118.00,118,118
"Compare_File_967",1,118,118.00,118.00,118,118
"Compare_File_969",1,117,117.00,117.00,117,117
"Compare_File_1.xml",1,111,111.00,111.00,111,111
"Compare_File_3.xml",1,111,111.00,111.00,111,111
