Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,95864,95.86,13.00,6,3153
"Apply_Config_Settings",1000,8518,8.52,4.00,0,440
"Parallel_Comparison",1,3325,3325.00,3325.00,3325,3325
"Compare_File_1",1,3169,3169.00,3169.00,3169,3169
"Compare_File_11",1,3163,3163.00,3163.00,3163,3163
"Compare_File_10",1,3162,3162.00,3162.00,3162,3162
"Compare_File_0",1,3161,3161.00,3161.00,3161,3161
"Compare_File_25",1,3071,3071.00,3071.00,3071,3071
"Compare_File_21",1,3070,3070.00,3070.00,3070,3070
"Compare_File_24",1,3069,3069.00,3069.00,3069,3069
"Compare_File_28",1,3063,3063.00,3063.00,3063,3063
"Compare_File_23",1,3062,3062.00,3062.00,3062,3062
"Compare_File_29",1,3061,3061.00,3061.00,3061,3061
"Compare_File_27",1,3061,3061.00,3061.00,3061,3061
"Compare_File_26",1,3059,3059.00,3059.00,3059,3059
"Compare_File_31",1,3056,3056.00,3056.00,3056,3056
"Compare_File_35",1,2925,2925.00,2925.00,2925,2925
"Compare_File_41",1,2921,2921.00,2921.00,2921,2921
"Compare_File_32",1,2914,2914.00,2914.00,2914,2914
"Compare_File_33",1,2907,2907.00,2907.00,2907,2907
"Compare_File_120",1,2707,2707.00,2707.00,2707,2707
"Compare_File_119",1,2692,2692.00,2692.00,2692,2692
"Compare_File_30",1,2648,2648.00,2648.00,2648,2648
"Compare_File_178",1,2533,2533.00,2533.00,2533,2533
"Compare_File_176",1,2530,2530.00,2530.00,2530,2530
"Compare_Objects",1000,1786,1.79,1.00,0,63
"Compare_File_20",1,1772,1772.00,1772.00,1772,1772
"Compare_File_554",1,1407,1407.00,1407.00,1407,1407
"Deserialize_Old_SoapEnvelope",1000,1081,1.08,0.00,0,94
"Compare_File_307",1,845,845.00,845.00,845,845
"Compare_File_306",1,717,717.00,717.00,717,717
"Compare_File_651",1,691,691.00,691.00,691,691
"Compare_File_13",1,678,678.00,678.00,678,678
"Compare_File_19",1,674,674.00,674.00,674,674
"Compare_File_12",1,673,673.00,673.00,673,673
"Compare_File_18",1,673,673.00,673.00,673,673
"Compare_File_17",1,660,660.00,660.00,660,660
"Compare_File_568",1,486,486.00,486.00,486,486
"Compare_File_14",1,481,481.00,481.00,481,481
"Compare_File_825",1,427,427.00,427.00,427,427
"Compare_File_16",1,345,345.00,345.00,345,345
"Compare_File_200",1,336,336.00,336.00,336,336
"Compare_File_199",1,332,332.00,332.00,332,332
"Compare_File_459",1,332,332.00,332.00,332,332
"Compare_File_191",1,321,321.00,321.00,321,321
"Compare_File_728",1,297,297.00,297.00,297,297
"Compare_File_615",1,289,289.00,289.00,289,289
"Compare_File_731",1,288,288.00,288.00,288,288
"Compare_File_15",1,279,279.00,279.00,279,279
"Compare_File_859",1,235,235.00,235.00,235,235
"Compare_File_313",1,223,223.00,223.00,223,223
"Compare_File_9",1,219,219.00,219.00,219,219
"Compare_File_8",1,218,218.00,218.00,218,218
"Compare_File_7",1,213,213.00,213.00,213,213
"Compare_File_4",1,212,212.00,212.00,212,212
"Compare_File_5",1,210,210.00,210.00,210,210
"Compare_File_6",1,210,210.00,210.00,210,210
"Compare_File_2",1,210,210.00,210.00,210,210
"Compare_File_3",1,210,210.00,210.00,210,210
"Compare_File_409",1,202,202.00,202.00,202,202
"Compare_File_870",1,188,188.00,188.00,188,188
"Compare_File_755",1,182,182.00,182.00,182,182
"Compare_File_938",1,158,158.00,158.00,158,158
"Compare_File_22",1,157,157.00,157.00,157,157
"Compare_File_128",1,156,156.00,156.00,156,156
"Clone_Old_SoapEnvelope",1000,149,0.15,0.00,0,11
"Compare_File_817",1,123,123.00,123.00,123,123
"Compare_File_341",1,122,122.00,122.00,122,122
"Compare_File_965",1,120,120.00,120.00,120,120
"Compare_File_259",1,119,119.00,119.00,119,119
"Compare_File_90",1,116,116.00,116.00,116,116
"Compare_File_385",1,116,116.00,116.00,116,116
"Compare_File_966",1,114,114.00,114.00,114,114
"Compare_File_634",1,110,110.00,110.00,110,110
"Compare_File_671",1,105,105.00,105.00,105,105
"Compare_File_190",1,105,105.00,105.00,105,105
"Compare_File_580",1,103,103.00,103.00,103,103
"Compare_File_550",1,102,102.00,102.00,102,102
"Compare_File_896",1,100,100.00,100.00,100,100
"Compare_File_936",1,94,94.00,94.00,94,94
"Compare_File_828",1,90,90.00,90.00,90,90
"Compare_File_952",1,88,88.00,88.00,88,88
"Compare_File_700",1,80,80.00,80.00,80,80
"Compare_File_309",1,75,75.00,75.00,75,75
"Compare_File_487",1,75,75.00,75.00,75,75
"Compare_File_216",1,71,71.00,71.00,71,71
"Compare_File_511",1,70,70.00,70.00,70,70
"Compare_File_979",1,69,69.00,69.00,69,69
"Compare_File_444",1,66,66.00,66.00,66,66
"Compare_File_931",1,65,65.00,65.00,65,65
"Compare_File_241",1,65,65.00,65.00,65,65
"Compare_File_89",1,65,65.00,65.00,65,65
"Compare_File_593",1,63,63.00,63.00,63,63
"Compare_File_427",1,60,60.00,60.00,60,60
"Compare_File_106",1,59,59.00,59.00,59,59
"Compare_File_884",1,57,57.00,57.00,57,57
"Get_Ignore_Rules",1000,57,0.06,0.00,0,4
"Compare_File_387",1,56,56.00,56.00,56,56
"Compare_File_816",1,56,56.00,56.00,56,56
"Compare_File_707",1,55,55.00,55.00,55,55
"Compare_File_740",1,55,55.00,55.00,55,55
