Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,96252,96.25,13.00,7,3221
"Compare_Objects",1000,29494,29.49,1.00,0,669
"Apply_Config_Settings",1000,9994,9.99,4.00,1,1282
"Parallel_Comparison",1,3672,3672.00,3672.00,3672,3672
"Compare_File_74",1,3226,3226.00,3226.00,3226,3226
"Compare_File_205",1,2739,2739.00,2739.00,2739,2739
"Compare_File_209",1,2704,2704.00,2704.00,2704,2704
"Compare_File_210",1,2702,2702.00,2702.00,2702,2702
"Compare_File_211",1,2702,2702.00,2702.00,2702,2702
"Compare_File_212",1,2697,2697.00,2697.00,2697,2697
"Compare_File_214",1,2677,2677.00,2677.00,2677,2677
"Compare_File_228",1,2613,2613.00,2613.00,2613,2613
"Compare_File_207",1,1868,1868.00,1868.00,1868,1868
"Compare_File_19",1,1855,1855.00,1855.00,1855,1855
"Compare_File_311",1,1817,1817.00,1817.00,1817,1817
"Compare_File_196",1,1425,1425.00,1425.00,1425,1425
"Compare_File_193",1,1411,1411.00,1411.00,1411,1411
"Compare_File_469",1,1272,1272.00,1272.00,1272,1272
"Compare_File_11",1,1087,1087.00,1087.00,1087,1087
"Compare_File_15",1,1087,1087.00,1087.00,1087,1087
"Compare_File_13",1,1082,1082.00,1082.00,1082,1082
"Compare_File_14",1,1082,1082.00,1082.00,1082,1082
"Compare_File_10",1,1081,1081.00,1081.00,1081,1081
"Compare_File_471",1,1054,1054.00,1054.00,1054,1054
"Compare_File_279",1,1035,1035.00,1035.00,1035,1035
"Compare_File_280",1,1034,1034.00,1034.00,1034,1034
"Pattern_Analysis",1,1024,1024.00,1024.00,1024,1024
"Compare_File_285",1,1023,1023.00,1023.00,1023,1023
"Compare_File_286",1,1019,1019.00,1019.00,1019,1019
"Compare_File_195",1,1013,1013.00,1013.00,1013,1013
"Compare_File_284",1,1013,1013.00,1013.00,1013,1013
"Compare_File_7",1,998,998.00,998.00,998,998
"Compare_File_197",1,991,991.00,991.00,991,991
"Compare_File_551",1,853,853.00,853.00,853,853
"Compare_File_578",1,851,851.00,851.00,851,851
"Compare_File_584",1,849,849.00,849.00,849,849
"Compare_File_579",1,847,847.00,847.00,847,847
"Compare_File_581",1,845,845.00,845.00,845,845
"Compare_File_580",1,843,843.00,843.00,843,843
"Compare_File_582",1,841,841.00,841.00,841,841
"Compare_File_583",1,839,839.00,839.00,839,839
"Compare_File_567",1,784,784.00,784.00,784,784
"Compare_File_362",1,772,772.00,772.00,772,772
"Compare_File_575",1,771,771.00,771.00,771,771
"Compare_File_50",1,769,769.00,769.00,769,769
"Compare_File_281",1,750,750.00,750.00,750,750
"Compare_File_257",1,744,744.00,744.00,744,744
"Compare_File_777",1,736,736.00,736.00,736,736
"Compare_File_49",1,699,699.00,699.00,699,699
"Compare_File_577",1,695,695.00,695.00,695,695
