Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",1000,93295,93.30,12.00,6,2648
"Compare_Objects",1000,27760,27.76,1.00,0,656
"Apply_Config_Settings",1000,8514,8.51,4.00,1,695
"Parallel_Comparison",1,3503,3503.00,3503.00,3503,3503
"Compare_File_207",1,2653,2653.00,2653.00,2653,2653
"Compare_File_211",1,2637,2637.00,2637.00,2637,2637
"Compare_File_210",1,2616,2616.00,2616.00,2616,2616
"Compare_File_212",1,2616,2616.00,2616.00,2616,2616
"Compare_File_214",1,2614,2614.00,2614.00,2614,2614
"Compare_File_215",1,2613,2613.00,2613.00,2613,2613
"Compare_File_213",1,2612,2612.00,2612.00,2612,2612
"Compare_File_218",1,2587,2587.00,2587.00,2587,2587
"Compare_File_231",1,2543,2543.00,2543.00,2543,2543
"Compare_File_209",1,1577,1577.00,1577.00,1577,1577
"Compare_File_199",1,1390,1390.00,1390.00,1390,1390
"Compare_File_200",1,1387,1387.00,1387.00,1387,1387
"Compare_File_197",1,1386,1386.00,1386.00,1386,1386
"Compare_File_198",1,1379,1379.00,1379.00,1379,1379
"Pattern_Analysis",1,1048,1048.00,1048.00,1048,1048
"Compare_File_13",1,1045,1045.00,1045.00,1045,1045
"Compare_File_15",1,1044,1044.00,1044.00,1044,1044
"Compare_File_11",1,1042,1042.00,1042.00,1042,1042
"Compare_File_14",1,1041,1041.00,1041.00,1041,1041
"Compare_File_12",1,1040,1040.00,1040.00,1040,1040
"Compare_File_500",1,992,992.00,992.00,992,992
"Compare_File_306",1,983,983.00,983.00,983,983
"Compare_File_309",1,978,978.00,978.00,978,978
"Compare_File_310",1,976,976.00,976.00,976,976
"Compare_File_697",1,976,976.00,976.00,976,976
"Compare_File_308",1,974,974.00,974.00,974,974
"Compare_File_583",1,937,937.00,937.00,937,937
"Compare_File_594",1,900,900.00,900.00,900,900
"Compare_File_598",1,880,880.00,880.00,880,880
"Compare_File_19",1,877,877.00,877.00,877,877
"Compare_File_605",1,871,871.00,871.00,871,871
"Compare_File_602",1,869,869.00,869.00,869,869
"Compare_File_604",1,869,869.00,869.00,869,869
"Compare_File_603",1,859,859.00,859.00,859,859
"Compare_File_8",1,850,850.00,850.00,850,850
"Compare_File_611",1,821,821.00,821.00,821,821
"Compare_File_609",1,820,820.00,820.00,820,820
"Compare_File_5",1,819,819.00,819.00,819,819
"Compare_File_6",1,777,777.00,777.00,777,777
"Compare_File_290",1,706,706.00,706.00,706,706
"Compare_File_298",1,704,704.00,704.00,704,704
"Compare_File_307",1,691,691.00,691.00,691,691
"Compare_File_302",1,685,685.00,685.00,685,685
"Compare_File_300",1,670,670.00,670.00,670,670
"Compare_File_303",1,670,670.00,670.00,670,670
"Compare_File_304",1,670,670.00,670.00,670,670
"Compare_File_601",1,666,666.00,666.00,666,666
"Compare_File_600",1,664,664.00,664.00,664,664
"Compare_File_305",1,660,660.00,660.00,660,660
