Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",2000,185623,92.81,13.00,6,3153
"Apply_Config_Settings",2000,47359,23.68,4.00,0,2648
"Parallel_Comparison",2,6365,3182.50,3182.50,3040,3325
"Compare_File_1",2,6069,3034.50,3034.50,2900,3169
"Compare_File_31",2,5954,2977.00,2977.00,2898,3056
"Compare_File_28",2,5950,2975.00,2975.00,2887,3063
"Compare_File_29",2,5949,2974.50,2974.50,2888,3061
"Compare_File_25",2,5944,2972.00,2972.00,2873,3071
"Compare_File_27",2,5939,2969.50,2969.50,2878,3061
"Compare_File_24",2,5932,2966.00,2966.00,2863,3069
"Compare_File_26",2,5929,2964.50,2964.50,2870,3059
"Compare_File_21",2,5924,2962.00,2962.00,2854,3070
"Compare_File_23",2,5923,2961.50,2961.50,2861,3062
"Compare_File_30",2,5541,2770.50,2770.50,2648,2893
"CompareFolderUploadsAsync",1,5261,5261.00,5261.00,5261,5261
"Compare_File_20",2,4621,2310.50,2310.50,1772,2849
"Compare_File_19",2,3519,1759.50,1759.50,674,2845
"Compare_File_18",2,3515,1757.50,1757.50,673,2842
"Compare_File_17",2,3499,1749.50,1749.50,660,2839
"Compare_File_10",2,3314,1657.00,1657.00,152,3162
"Compare_File_11",2,3293,1646.50,1646.50,130,3163
"Compare_File_16",2,3180,1590.00,1590.00,345,2835
"Compare_File_0",2,3176,1588.00,1588.00,15,3161
"Compare_File_2",2,3090,1545.00,1545.00,210,2880
"Compare_File_32",2,3079,1539.50,1539.50,165,2914
"Compare_File_22",2,3019,1509.50,1509.50,157,2862
"Compare_File_35",2,2934,1467.00,1467.00,9,2925
"Compare_File_41",2,2931,1465.50,1465.50,10,2921
"Compare_File_33",2,2917,1458.50,1458.50,10,2907
"Compare_File_38",2,2898,1449.00,1449.00,26,2872
"Compare_File_47",2,2860,1430.00,1430.00,13,2847
"Compare_File_56",2,2831,1415.50,1415.50,11,2820
"Compare_File_63",2,2816,1408.00,1408.00,10,2806
"Compare_File_84",2,2729,1364.50,1364.50,30,2699
"Compare_File_120",2,2719,1359.50,1359.50,12,2707
"Compare_File_119",2,2701,1350.50,1350.50,9,2692
"Compare_File_108",2,2685,1342.50,1342.50,21,2664
"Compare_File_178",2,2553,1276.50,1276.50,20,2533
"Compare_File_176",2,2539,1269.50,1269.50,9,2530
"Compare_File_363",2,1868,934.00,934.00,25,1843
"Compare_Objects",2000,1818,0.91,0.00,0,63
"Compare_File_15",2,1443,721.50,721.50,279,1164
"Compare_File_554",2,1424,712.00,712.00,17,1407
"Deserialize_Old_SoapEnvelope",2000,1081,0.54,0.00,0,94
"Compare_File_12",2,998,499.00,499.00,325,673
"Compare_File_307",2,863,431.50,431.50,18,845
"Compare_File_14",2,751,375.50,375.50,270,481
"Compare_File_306",2,729,364.50,364.50,12,717
"Compare_File_651",2,714,357.00,357.00,23,691
"Compare_File_13",2,694,347.00,347.00,16,678
"Compare_File_568",2,496,248.00,248.00,10,486
"Compare_File_199",2,448,224.00,224.00,116,332
"Compare_File_740",2,439,219.50,219.50,55,384
"Compare_File_825",2,436,218.00,218.00,9,427
"Compare_File_459",2,377,188.50,188.50,45,332
"Compare_File_133",2,362,181.00,181.00,15,347
"Compare_File_200",2,352,176.00,176.00,16,336
"Compare_File_891",2,341,170.50,170.50,18,323
"Compare_File_191",2,334,167.00,167.00,13,321
"Compare_File_8",2,325,162.50,162.50,107,218
"Compare_File_255",2,320,160.00,160.00,9,311
"Compare_File_728",2,308,154.00,154.00,11,297
"Compare_File_9",2,306,153.00,153.00,87,219
"Compare_File_615",2,303,151.50,151.50,14,289
"Compare_File_731",2,300,150.00,150.00,12,288
"Compare_File_859",2,277,138.50,138.50,42,235
"Compare_File_7",2,277,138.50,138.50,64,213
"Compare_File_6",2,267,133.50,133.50,57,210
"Compare_File_655",2,252,126.00,126.00,13,239
"Compare_File_870",2,243,121.50,121.50,55,188
"Compare_File_5",2,238,119.00,119.00,28,210
"Compare_File_4",2,238,119.00,119.00,26,212
"Compare_File_313",2,236,118.00,118.00,13,223
"Compare_File_3",2,231,115.50,115.50,21,210
"Compare_File_409",2,216,108.00,108.00,14,202
"Compare_File_566",2,205,102.50,102.50,31,174
"Compare_File_755",2,198,99.00,99.00,16,182
"Compare_File_462",2,191,95.50,95.50,16,175
"Compare_File_128",2,183,91.50,91.50,27,156
"Compare_File_938",2,172,86.00,86.00,14,158
"Compare_File_487",2,164,82.00,82.00,75,89
"Compare_File_751",2,154,77.00,77.00,25,129
"Clone_Old_SoapEnvelope",2000,149,0.07,0.00,0,11
"Compare_File_908",2,141,70.50,70.50,13,128
"Compare_File_634",2,138,69.00,69.00,28,110
"Compare_File_817",2,135,67.50,67.50,12,123
"Compare_File_259",2,133,66.50,66.50,14,119
"Compare_File_135",2,133,66.50,66.50,10,123
"Compare_File_965",2,131,65.50,65.50,11,120
"Compare_File_385",2,131,65.50,65.50,15,116
"Compare_File_341",2,129,64.50,64.50,7,122
"Compare_File_966",2,128,64.00,64.00,14,114
"Compare_File_639",2,125,62.50,62.50,15,110
"Compare_File_90",2,124,62.00,62.00,8,116
"Compare_File_696",2,120,60.00,60.00,11,109
"Compare_File_315",2,119,59.50,59.50,40,79
"Compare_File_828",2,119,59.50,59.50,29,90
"Compare_File_550",2,117,58.50,58.50,15,102
"Compare_File_190",2,117,58.50,58.50,12,105
"Compare_File_580",2,115,57.50,57.50,12,103
"Compare_File_671",2,113,56.50,56.50,8,105
"Compare_File_798",2,112,56.00,56.00,13,99
"Compare_File_388",2,111,55.50,55.50,16,95
"Compare_File_429",2,111,55.50,55.50,12,99
"Compare_File_254",2,110,55.00,55.00,11,99
"Compare_File_565",2,109,54.50,54.50,23,86
"Compare_File_936",2,109,54.50,54.50,15,94
"Compare_File_896",2,109,54.50,54.50,9,100
"Compare_File_957",2,108,54.00,54.00,16,92
"Compare_File_280",2,106,53.00,53.00,10,96
"Compare_File_952",2,105,52.50,52.50,17,88
"Compare_File_522",2,101,50.50,50.50,17,84
"Compare_File_78",2,100,50.00,50.00,13,87
"Pattern_Analysis",1,96,96.00,96.00,96,96
"Compare_File_551",2,95,47.50,47.50,26,69
"Compare_File_700",2,95,47.50,47.50,15,80
"Compare_File_173",2,93,46.50,46.50,19,74
"Compare_File_865",2,90,45.00,45.00,16,74
