Operation,CallCount,TotalTimeMs,AverageTimeMs,MedianTimeMs,MinTimeMs,MaxTimeMs
"CompareXmlFilesAsync",2000,3664839,1832.42,1737.00,697,15439
"Compare_Objects",2000,993668,496.83,493.00,101,6631
"Clone_New_SoapEnvelope",2000,489965,244.98,225.50,80,6306
"Clone_Old_SoapEnvelope",2000,483422,241.71,225.50,78,6309
"Deserialize_New_SoapEnvelope",2000,465531,232.77,224.00,66,6286
"Deserialize_Old_SoapEnvelope",2000,461302,230.65,227.00,68,6431
"Apply_Config_Settings",2000,303936,151.97,70.00,0,7976
"Parallel_Comparison",2,248734,124367.00,124367.00,120869,127865
"CompareFolderUploadsAsync",1,124251,124251.00,124251.00,124251,124251
"Compare_File_132",2,17661,8830.50,8830.50,2199,15462
"Compare_File_13",2,16635,8317.50,8317.50,1851,14784
"Compare_File_0",2,15442,7721.00,7721.00,2543,12899
"Compare_File_131",2,11793,5896.50,5896.50,1694,10099
"Compare_File_215",2,11455,5727.50,5727.50,1450,10005
"Compare_File_667",2,10847,5423.50,5423.50,1377,9470
"Compare_File_663",2,10667,5333.50,5333.50,2261,8406
"Compare_File_130",2,10327,5163.50,5163.50,1636,8691
"Compare_File_129",2,10303,5151.50,5151.50,1752,8551
"Compare_File_662",2,10264,5132.00,5132.00,1603,8661
"Compare_File_656",2,10254,5127.00,5127.00,1905,8349
"Compare_File_657",2,10088,5044.00,5044.00,1414,8674
"Compare_File_670",2,9888,4944.00,4944.00,1784,8104
"Compare_File_660",2,9693,4846.50,4846.50,1753,7940
"Compare_File_658",2,9489,4744.50,4744.50,1524,7965
"Compare_File_156",2,9477,4738.50,4738.50,3151,6326
"Compare_File_668",2,9460,4730.00,4730.00,1627,7833
"Compare_File_671",2,9449,4724.50,4724.50,1378,8071
"Compare_File_659",2,9437,4718.50,4718.50,1643,7794
"Compare_File_664",2,9276,4638.00,4638.00,1755,7521
"Compare_File_661",2,9228,4614.00,4614.00,1603,7625
"Compare_File_665",2,9223,4611.50,4611.50,1387,7836
"Compare_File_669",2,9148,4574.00,4574.00,1584,7564
"Compare_File_666",2,8905,4452.50,4452.50,1230,7675
"Compare_File_28",2,8022,4011.00,4011.00,1716,6306
"Compare_File_77",2,7605,3802.50,3802.50,2333,5272
"Compare_File_27",2,7364,3682.00,3682.00,1873,5491
"Compare_File_78",2,6804,3402.00,3402.00,2179,4625
"Compare_File_257",2,6778,3389.00,3389.00,1610,5168
"Compare_File_25",2,6777,3388.50,3388.50,2267,4510
"Compare_File_157",2,6637,3318.50,3318.50,1686,4951
"Compare_File_119",2,6534,3267.00,3267.00,2062,4472
"Compare_File_228",2,6446,3223.00,3223.00,1864,4582
"Compare_File_394",2,6190,3095.00,3095.00,1828,4362
"Compare_File_267",2,6126,3063.00,3063.00,1694,4432
"Compare_File_468",2,5988,2994.00,2994.00,1847,4141
"Compare_File_87",2,5978,2989.00,2989.00,1715,4263
"Compare_File_268",2,5919,2959.50,2959.50,1592,4327
"Compare_File_678",2,5893,2946.50,2946.50,2741,3152
"Compare_File_256",2,5825,2912.50,2912.50,2008,3817
"Compare_File_361",2,5642,2821.00,2821.00,1749,3893
"Compare_File_89",2,5608,2804.00,2804.00,2014,3594
"Compare_File_615",2,5583,2791.50,2791.50,2077,3506
